order_id,user_id,order_date,product_id,product_name,category,quantity,price
ORD-1000,U001,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-2130,U034,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-2130,U034,2025-12-20,P002,Whole Wheat Bread,pantry,2,2.0
ORD-2130,U034,2025-12-20,P001,Amul Milk 1L,dairy,2,1.5
ORD-1261,U009,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-1261,U009,2025-12-20,P002,Whole Wheat Bread,pantry,1,2.0
ORD-1261,U009,2025-12-20,P001,Amul Milk 1L,dairy,2,1.5
ORD-1261,U009,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-2084,U033,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-4179,U096,2025-12-20,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-4179,U096,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-2084,U033,2025-12-20,P001,Amul Milk 1L,dairy,1,1.5
ORD-2084,U033,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-2029,U031,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-2559,U047,2025-12-20,P001,Amul Milk 1L,dairy,2,1.5
ORD-2029,U031,2025-12-20,P010,Olive Oil 500ml,pantry,1,8.0
ORD-2130,U034,2025-12-20,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-3953,U089,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-3953,U089,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-3953,U089,2025-12-20,P005,Refined Sugar 1kg,pantry,2,1.2
ORD-2604,U048,2025-12-20,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-2604,U048,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-2664,U050,2025-12-20,P010,Olive Oil 500ml,pantry,1,8.0
ORD-2664,U050,2025-12-20,P008,Quaker Oats 1kg,pantry,1,4.0
ORD-2664,U050,2025-12-20,P002,Whole Wheat Bread,pantry,2,2.0
ORD-2664,U050,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-2392,U042,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-1984,U030,2025-12-20,P002,Whole Wheat Bread,pantry,2,2.0
ORD-2392,U042,2025-12-20,P001,Amul Milk 1L,dairy,1,1.5
ORD-2775,U053,2025-12-20,P008,Quaker Oats 1kg,pantry,2,4.0
ORD-2775,U053,2025-12-20,P010,Olive Oil 500ml,pantry,1,8.0
ORD-4010,U091,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-4010,U091,2025-12-20,P007,Coca Cola 2L,beverage,2,2.5
ORD-4010,U091,2025-12-20,P001,Amul Milk 1L,dairy,2,1.5
ORD-2775,U053,2025-12-20,P001,Amul Milk 1L,dairy,1,1.5
ORD-2775,U053,2025-12-20,P002,Whole Wheat Bread,pantry,1,2.0
ORD-2392,U042,2025-12-20,P002,Whole Wheat Bread,pantry,1,2.0
ORD-1984,U030,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-2029,U031,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-2559,U047,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-3399,U071,2025-12-20,P002,Whole Wheat Bread,pantry,1,2.0
ORD-3399,U071,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-3320,U068,2025-12-20,P002,Whole Wheat Bread,pantry,2,2.0
ORD-3320,U068,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-3859,U085,2025-12-20,P002,Whole Wheat Bread,pantry,1,2.0
ORD-3859,U085,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-3859,U085,2025-12-20,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-3442,U072,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-3953,U089,2025-12-20,P001,Amul Milk 1L,dairy,2,1.5
ORD-3252,U066,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-1706,U021,2025-12-20,P001,Amul Milk 1L,dairy,2,1.5
ORD-1706,U021,2025-12-20,P002,Whole Wheat Bread,pantry,2,2.0
ORD-3399,U071,2025-12-20,P001,Amul Milk 1L,dairy,1,1.5
ORD-3252,U066,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-1706,U021,2025-12-20,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-3209,U065,2025-12-20,P002,Whole Wheat Bread,pantry,1,2.0
ORD-1000,U001,2025-12-20,P002,Whole Wheat Bread,pantry,2,2.0
ORD-3551,U075,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-3551,U075,2025-12-20,P001,Amul Milk 1L,dairy,1,1.5
ORD-4248,U098,2025-12-20,P001,Amul Milk 1L,dairy,1,1.5
ORD-4248,U098,2025-12-20,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-3252,U066,2025-12-20,P002,Whole Wheat Bread,pantry,2,2.0
ORD-4248,U098,2025-12-20,P009,Apples 1kg,produce,2,3.0
ORD-1840,U026,2025-12-20,P002,Whole Wheat Bread,pantry,2,2.0
ORD-1840,U026,2025-12-20,P001,Amul Milk 1L,dairy,2,1.5
ORD-3209,U065,2025-12-20,P004,Nescafe Coffee 100g,beverage,1,5.0
ORD-3209,U065,2025-12-20,P009,Apples 1kg,produce,1,3.0
ORD-3442,U072,2025-12-20,P002,Whole Wheat Bread,pantry,1,2.0
ORD-2732,U052,2025-12-21,P009,Apples 1kg,produce,1,3.0
ORD-3486,U073,2025-12-21,P001,Amul Milk 1L,dairy,1,1.5
ORD-3486,U073,2025-12-21,P008,Quaker Oats 1kg,pantry,2,4.0
ORD-3732,U080,2025-12-21,P002,Whole Wheat Bread,pantry,1,2.0
ORD-2732,U052,2025-12-21,P010,Olive Oil 500ml,pantry,1,8.0
ORD-2910,U056,2025-12-21,P009,Apples 1kg,produce,2,3.0
ORD-2821,U054,2025-12-21,P009,Apples 1kg,produce,2,3.0
ORD-2910,U056,2025-12-21,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-2910,U056,2025-12-21,P004,Nescafe Coffee 100g,beverage,1,5.0
ORD-3127,U062,2025-12-21,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-3127,U062,2025-12-21,P005,Refined Sugar 1kg,pantry,2,1.2
ORD-3127,U062,2025-12-21,P009,Apples 1kg,produce,2,3.0
ORD-3082,U061,2025-12-21,P009,Apples 1kg,produce,1,3.0
ORD-3082,U061,2025-12-21,P010,Olive Oil 500ml,pantry,2,8.0
ORD-2821,U054,2025-12-21,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-2821,U054,2025-12-21,P001,Amul Milk 1L,dairy,2,1.5
ORD-4054,U092,2025-12-21,P009,Apples 1kg,produce,1,3.0
ORD-1940,U029,2025-12-21,P005,Refined Sugar 1kg,pantry,1,1.2
ORD-1796,U025,2025-12-21,P002,Whole Wheat Bread,pantry,1,2.0
ORD-1896,U028,2025-12-21,P009,Apples 1kg,produce,2,3.0
ORD-1896,U028,2025-12-21,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-1896,U028,2025-12-21,P002,Whole Wheat Bread,pantry,2,2.0
ORD-1940,U029,2025-12-21,P001,Amul Milk 1L,dairy,1,1.5
ORD-2501,U045,2025-12-21,P010,Olive Oil 500ml,pantry,1,8.0
ORD-1662,U020,2025-12-21,P009,Apples 1kg,produce,1,3.0
ORD-1662,U020,2025-12-21,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-1504,U016,2025-12-21,P002,Whole Wheat Bread,pantry,2,2.0
ORD-1504,U016,2025-12-21,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-1940,U029,2025-12-21,P004,Nescafe Coffee 100g,beverage,1,5.0
ORD-1940,U029,2025-12-21,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-1504,U016,2025-12-21,P001,Amul Milk 1L,dairy,1,1.5
ORD-1796,U025,2025-12-21,P009,Apples 1kg,produce,1,3.0
ORD-2277,U038,2025-12-21,P001,Amul Milk 1L,dairy,2,1.5
ORD-1796,U025,2025-12-21,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-1218,U008,2025-12-21,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-4054,U092,2025-12-21,P001,Amul Milk 1L,dairy,1,1.5
ORD-2277,U038,2025-12-21,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-2501,U045,2025-12-21,P004,Nescafe Coffee 100g,beverage,1,5.0
ORD-2501,U045,2025-12-21,P001,Amul Milk 1L,dairy,1,1.5
ORD-2277,U038,2025-12-21,P005,Refined Sugar 1kg,pantry,1,1.2
ORD-4109,U094,2025-12-21,P001,Amul Milk 1L,dairy,2,1.5
ORD-4109,U094,2025-12-21,P002,Whole Wheat Bread,pantry,2,2.0
ORD-4109,U094,2025-12-21,P009,Apples 1kg,produce,1,3.0
ORD-1363,U012,2025-12-22,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-3595,U076,2025-12-22,P005,Refined Sugar 1kg,pantry,2,1.2
ORD-3778,U081,2025-12-22,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-1059,U003,2025-12-22,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-1305,U010,2025-12-22,P003,Farm Eggs 12pk,dairy,2,3.5
ORD-1305,U010,2025-12-22,P002,Whole Wheat Bread,pantry,1,2.0
ORD-3688,U079,2025-12-22,P009,Apples 1kg,produce,1,3.0
ORD-1617,U019,2025-12-22,P001,Amul Milk 1L,dairy,1,1.5
ORD-1548,U017,2025-12-22,P002,Whole Wheat Bread,pantry,2,2.0
ORD-1548,U017,2025-12-22,P009,Apples 1kg,produce,1,3.0
ORD-3688,U079,2025-12-22,P001,Amul Milk 1L,dairy,2,1.5
ORD-1448,U014,2025-12-22,P001,Amul Milk 1L,dairy,1,1.5
ORD-1448,U014,2025-12-22,P009,Apples 1kg,produce,2,3.0
ORD-3688,U079,2025-12-22,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-1405,U013,2025-12-22,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-1405,U013,2025-12-22,P002,Whole Wheat Bread,pantry,1,2.0
ORD-1363,U012,2025-12-22,P002,Whole Wheat Bread,pantry,2,2.0
ORD-3595,U076,2025-12-22,P004,Nescafe Coffee 100g,beverage,2,5.0
ORD-3595,U076,2025-12-22,P002,Whole Wheat Bread,pantry,2,2.0
ORD-1617,U019,2025-12-22,P009,Apples 1kg,produce,1,3.0
ORD-1448,U014,2025-12-22,P002,Whole Wheat Bread,pantry,1,2.0
ORD-1059,U003,2025-12-22,P002,Whole Wheat Bread,pantry,2,2.0
ORD-1131,U006,2025-12-22,P002,Whole Wheat Bread,pantry,2,2.0
ORD-2456,U044,2025-12-22,P009,Apples 1kg,produce,1,3.0
ORD-2456,U044,2025-12-22,P002,Whole Wheat Bread,pantry,1,2.0
ORD-2349,U041,2025-12-22,P002,Whole Wheat Bread,pantry,1,2.0
ORD-2349,U041,2025-12-22,P010,Olive Oil 500ml,pantry,2,8.0
ORD-2349,U041,2025-12-22,P001,Amul Milk 1L,dairy,2,1.5
ORD-1174,U007,2025-12-22,P001,Amul Milk 1L,dairy,1,1.5
ORD-1174,U007,2025-12-22,P009,Apples 1kg,produce,2,3.0
ORD-2217,U036,2025-12-22,P009,Apples 1kg,produce,2,3.0
ORD-2866,U055,2025-12-22,P009,Apples 1kg,produce,2,3.0
ORD-2866,U055,2025-12-22,P003,Farm Eggs 12pk,dairy,1,3.5
ORD-2866,U055,2025-12-22,P001,Amul Milk 1L,dairy,2,1.5
